id,reportPath,selectedBackend,riskScore,highlightClipRatio,shadowClipRatio,abMeanDelta,blackGuard,suspectedBlackFrame
mindfullens_render_debug_1776534665735,data/raw/reference/reports/mindfullens_render_debug_1776534665735.json,macOS ImageIO / sips,0.005535,0,0,0.369,false,false
mindfullens_render_debug_1776534838108,data/raw/reference/reports/mindfullens_render_debug_1776534838108.json,macOS ImageIO / sips,0.011025,0,0,0.735,false,false
mindfullens_render_debug_1776534854074,data/raw/reference/reports/mindfullens_render_debug_1776534854074.json,macOS ImageIO / sips,0.14041499999999998,0,0,9.361,false,false
mindfullens_render_debug_1776534882261,data/raw/reference/reports/mindfullens_render_debug_1776534882261.json,macOS QuickLook / qlmanage,0.141255,0,0,9.417,false,false
mindfullens_render_debug_1776534895499,data/raw/reference/reports/mindfullens_render_debug_1776534895499.json,macOS QuickLook / qlmanage,0.093225,0,0,6.215,false,false
mindfullens_render_debug_1776534908488,data/raw/reference/reports/mindfullens_render_debug_1776534908488.json,macOS QuickLook / qlmanage,0.12130499999999998,0,0,8.087,false,false
mindfullens_render_debug_1776534921039,data/raw/reference/reports/mindfullens_render_debug_1776534921039.json,macOS ImageIO / sips,0.0072,0,0,0.48,false,false
mindfullens_render_debug_1776534931219,data/raw/reference/reports/mindfullens_render_debug_1776534931219.json,macOS ImageIO / sips,0.142485,0,0,9.499,false,false
mindfullens_render_debug_1776534940397,data/raw/reference/reports/mindfullens_render_debug_1776534940397.json,macOS ImageIO / sips,0.097455,0,0,6.497,false,false
mindfullens_render_debug_1776534955565,data/raw/reference/reports/mindfullens_render_debug_1776534955565.json,macOS ImageIO / sips,0.00408,0,0,0.272,false,false
mindfullens_render_debug_1776534966251,data/raw/reference/reports/mindfullens_render_debug_1776534966251.json,macOS QuickLook / qlmanage,0.06058499999999999,0,0,4.039,false,false
mindfullens_render_debug_1776534980344,data/raw/reference/reports/mindfullens_render_debug_1776534980344.json,macOS ImageIO / sips,0.116385,0,0,7.759,false,false
mindfullens_render_debug_1776534992778,data/raw/reference/reports/mindfullens_render_debug_1776534992778.json,macOS ImageIO / sips,0.12031500000000002,0,0,8.021,false,false
mindfullens_render_debug_1776535005013,data/raw/reference/reports/mindfullens_render_debug_1776535005013.json,macOS ImageIO / sips,0.198765,0,0,13.251,false,false
mindfullens_render_debug_1776535322528,data/raw/reference/reports/mindfullens_render_debug_1776535322528.json,macOS QuickLook / qlmanage,0.054165,0,0,3.611,false,false
mindfullens_render_debug_1776535341104,data/raw/reference/reports/mindfullens_render_debug_1776535341104.json,macOS ImageIO / sips,0.07390499999999998,0,0,4.927,false,false
mindfullens_render_debug_1776535364753,data/raw/reference/reports/mindfullens_render_debug_1776535364753.json,macOS ImageIO / sips,0.007395,0,0,0.493,false,false
mindfullens_render_debug_1776535379986,data/raw/reference/reports/mindfullens_render_debug_1776535379986.json,macOS ImageIO / sips,0.003,0,0,0.2,false,false
mindfullens_render_debug_1776535390891,data/raw/reference/reports/mindfullens_render_debug_1776535390891.json,macOS ImageIO / sips,0.09561,0,0,6.374,false,false
mindfullens_render_debug_1776535443421,data/raw/reference/reports/mindfullens_render_debug_1776535443421.json,macOS ImageIO / sips,0.07735500000000001,0,0,5.157,false,false
mindfullens_render_debug_1776535485541,data/raw/reference/reports/mindfullens_render_debug_1776535485541.json,macOS ImageIO / sips,0.004245,0,0,0.283,false,false
mindfullens_render_debug_1776535535709,data/raw/reference/reports/mindfullens_render_debug_1776535535709.json,macOS QuickLook / qlmanage,0.10733999999999999,0,0,7.156,false,false
mindfullens_render_debug_1776535563813,data/raw/reference/reports/mindfullens_render_debug_1776535563813.json,macOS ImageIO / sips,0.051765000000000005,0,0,3.451,false,false
mindfullens_render_debug_1776535582044,data/raw/reference/reports/mindfullens_render_debug_1776535582044.json,macOS ImageIO / sips,0.12588,0,0,8.392,false,false
mindfullens_render_debug_1776535591285,data/raw/reference/reports/mindfullens_render_debug_1776535591285.json,macOS QuickLook / qlmanage,0.18361499999999997,0,0,12.241,false,false
mindfullens_render_debug_1776535611424,data/raw/reference/reports/mindfullens_render_debug_1776535611424.json,macOS QuickLook / qlmanage,0.06470999999999999,0,0,4.314,false,false
mindfullens_render_debug_1776535631075,data/raw/reference/reports/mindfullens_render_debug_1776535631075.json,macOS ImageIO / sips,0.20965499999999998,0,0,13.977,false,false
mindfullens_render_debug_1776535649765,data/raw/reference/reports/mindfullens_render_debug_1776535649765.json,macOS QuickLook / qlmanage,0.077805,0,0,5.187,false,false
mindfullens_render_debug_1776535666600,data/raw/reference/reports/mindfullens_render_debug_1776535666600.json,macOS QuickLook / qlmanage,0.06916499999999999,0,0,4.611,false,false
mindfullens_render_debug_1776536032045,data/raw/reference/reports/mindfullens_render_debug_1776536032045.json,macOS QuickLook / qlmanage,0.057449999999999994,0,0,3.83,false,false
mindfullens_render_debug_1776536053593,data/raw/reference/reports/mindfullens_render_debug_1776536053593.json,macOS QuickLook / qlmanage,0.07490999999999999,0,0,4.994,false,false
mindfullens_render_debug_1776536067987,data/raw/reference/reports/mindfullens_render_debug_1776536067987.json,macOS QuickLook / qlmanage,0.11487,0,0,7.658,false,false
mindfullens_render_debug_1776536096990,data/raw/reference/reports/mindfullens_render_debug_1776536096990.json,macOS QuickLook / qlmanage,0.117165,0,0,7.811,false,false
mindfullens_render_debug_1776536113243,data/raw/reference/reports/mindfullens_render_debug_1776536113243.json,macOS QuickLook / qlmanage,0.044715,0,0,2.981,false,false
mindfullens_render_debug_1776536126984,data/raw/reference/reports/mindfullens_render_debug_1776536126984.json,macOS QuickLook / qlmanage,0.07074,0,0,4.716,false,false
mindfullens_render_debug_1776536142649,data/raw/reference/reports/mindfullens_render_debug_1776536142649.json,macOS QuickLook / qlmanage,0.088845,0,0,5.923,false,false
mindfullens_render_debug_1776536155602,data/raw/reference/reports/mindfullens_render_debug_1776536155602.json,macOS QuickLook / qlmanage,0.05967,0,0,3.978,false,false
mindfullens_render_debug_1776536169822,data/raw/reference/reports/mindfullens_render_debug_1776536169822.json,macOS QuickLook / qlmanage,0.12139499999999999,0,0,8.093,false,false
mindfullens_render_debug_1776536178960,data/raw/reference/reports/mindfullens_render_debug_1776536178960.json,macOS ImageIO / sips,0.08798999999999998,0,0,5.866,false,false
